FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
01017,AL,"Chambers County, AL",6,5,0,17486.00,16709.00,777.00,4.40,17526.00,16568.00,958.00,5.50,17211.00,16056.00,1155.00,6.70,16896.00,15815.00,1081.00,6.40,16617.00,15468.00,1149.00,6.90,16308.00,15379.00,929.00,5.70,15761.00,14849.00,912.00,5.80,15517.00,14489.00,1028.00,6.60,15066.00,12823.00,2243.00,14.90,14487.00,11863.00,2624.00,18.10,14734.00,12581.00,2153.00,14.60,15185.00,13386.00,1799.00,11.80,15160.00,13630.00,1530.00,10.10,15263.00,14028.00,1235.00,8.10,15329.00,14308.00,1021.00,6.70,14939.00,14031.00,908.00,6.10,14858.00,14044.00,814.00,5.50,15375.00,14734.00,641.00,4.20,15529.00,14924.00,605.00,3.90,16000.00,15506.00,494.00,3.10,16102.00,14907.00,1195.00,7.40,15790.00,15220.00,570.00,3.60,15933.00,15523.00,410.00,2.60,45447.00,84.20
01019,AL,"Cherokee County, AL",6,6,0,11378.00,10862.00,516.00,4.50,11406.00,10881.00,525.00,4.60,11591.00,11039.00,552.00,4.80,11977.00,11392.00,585.00,4.90,12072.00,11501.00,571.00,4.70,12012.00,11493.00,519.00,4.30,11864.00,11367.00,497.00,4.20,12012.00,11500.00,512.00,4.30,11999.00,11287.00,712.00,5.90,11715.00,10460.00,1255.00,10.70,11466.00,10267.00,1199.00,10.50,11473.00,10369.00,1104.00,9.60,11278.00,10350.00,928.00,8.20,11392.00,10627.00,765.00,6.70,11407.00,10748.00,659.00,5.80,11132.00,10521.00,611.00,5.50,11241.00,10671.00,570.00,5.10,11470.00,10993.00,477.00,4.20,11810.00,11389.00,421.00,3.60,11911.00,11549.00,362.00,3.00,11682.00,11090.00,592.00,5.10,11686.00,11390.00,296.00,2.50,11696.00,11422.00,274.00,2.30,46365.00,85.90
01021,AL,"Chilton County, AL",1,1,1,19601.00,18752.00,849.00,4.30,19580.00,18631.00,949.00,4.80,19452.00,18456.00,996.00,5.10,19557.00,18581.00,976.00,5.00,19650.00,18738.00,912.00,4.60,19623.00,18859.00,764.00,3.90,19792.00,19087.00,705.00,3.60,19777.00,19093.00,684.00,3.50,19609.00,18583.00,1026.00,5.20,19393.00,17501.00,1892.00,9.80,19474.00,17502.00,1972.00,10.10,19536.00,17761.00,1775.00,9.10,19396.00,17960.00,1436.00,7.40,19339.00,18052.00,1287.00,6.70,19130.00,17938.00,1192.00,6.20,19089.00,18005.00,1084.00,5.70,19029.00,17982.00,1047.00,5.50,19478.00,18667.00,811.00,4.20,19830.00,19114.00,716.00,3.60,20155.00,19573.00,582.00,2.90,19951.00,18868.00,1083.00,5.40,20004.00,19443.00,561.00,2.80,20266.00,19806.00,460.00,2.30,55142.00,102.10
01023,AL,"Choctaw County, AL",9,10,0,6226.00,5815.00,411.00,6.60,5907.00,5481.00,426.00,7.20,5749.00,5239.00,510.00,8.90,5672.00,5107.00,565.00,10.00,5465.00,5002.00,463.00,8.50,5285.00,4940.00,345.00,6.50,5335.00,5038.00,297.00,5.60,5197.00,4882.00,315.00,6.10,5076.00,4638.00,438.00,8.60,5106.00,4474.00,632.00,12.40,4857.00,4225.00,632.00,13.00,4760.00,4140.00,620.00,13.00,4798.00,4292.00,506.00,10.50,4701.00,4261.00,440.00,9.40,4501.00,4098.00,403.00,9.00,4369.00,3969.00,400.00,9.20,4292.00,3926.00,366.00,8.50,4460.00,4172.00,288.00,6.50,4799.00,4537.00,262.00,5.50,4724.00,4491.00,233.00,4.90,4700.00,4357.00,343.00,7.30,4567.00,4370.00,197.00,4.30,4298.00,4133.00,165.00,3.80,40601.00,75.20
01025,AL,"Clarke County, AL",7,11,0,11677.00,10814.00,863.00,7.40,11094.00,9998.00,1096.00,9.90,10752.00,9775.00,977.00,9.10,10809.00,9882.00,927.00,8.60,10395.00,9483.00,912.00,8.80,10098.00,9457.00,641.00,6.30,10268.00,9636.00,632.00,6.20,10386.00,9744.00,642.00,6.20,10366.00,9401.00,965.00,9.30,10298.00,8728.00,1570.00,15.20,9088.00,7316.00,1772.00,19.50,8827.00,7185.00,1642.00,18.60,8397.00,7107.00,1290.00,15.40,8286.00,7130.00,1156.00,14.00,8166.00,7177.00,989.00,12.10,7976.00,7036.00,940.00,11.80,7889.00,7030.00,859.00,10.90,7832.00,7153.00,679.00,8.70,7742.00,7167.00,575.00,7.40,7721.00,7253.00,468.00,6.10,7898.00,7127.00,771.00,9.80,7736.00,7286.00,450.00,5.80,7694.00,7309.00,385.00,5.00,45447.00,84.20
01027,AL,"Clay County, AL",9,10,0,6608.00,6199.00,409.00,6.20,6405.00,6012.00,393.00,6.10,6165.00,5780.00,385.00,6.20,5946.00,5516.00,430.00,7.20,5894.00,5525.00,369.00,6.30,5934.00,5642.00,292.00,4.90,6189.00,5911.00,278.00,4.50,6130.00,5784.00,346.00,5.60,5739.00,5269.00,470.00,8.20,5596.00,4737.00,859.00,15.40,5844.00,5016.00,828.00,14.20,5593.00,4937.00,656.00,11.70,5419.00,4899.00,520.00,9.60,5390.00,4933.00,457.00,8.50,5521.00,5128.00,393.00,7.10,5535.00,5194.00,341.00,6.20,5579.00,5247.00,332.00,6.00,5863.00,5603.00,260.00,4.40,6074.00,5842.00,232.00,3.80,6164.00,5970.00,194.00,3.10,6146.00,5874.00,272.00,4.40,6048.00,5884.00,164.00,2.70,6130.00,5991.00,139.00,2.30,47036.00,87.10
01029,AL,"Cleburne County, AL",8,4,0,7002.00,6715.00,287.00,4.10,6964.00,6594.00,370.00,5.30,6794.00,6454.00,340.00,5.00,6698.00,6295.00,403.00,6.00,6689.00,6340.00,349.00,5.20,6642.00,6382.00,260.00,3.90,6646.00,6415.00,231.00,3.50,6497.00,6255.00,242.00,3.70,6557.00,6213.00,344.00,5.20,6499.00,5893.00,606.00,9.30,6035.00,5441.00,594.00,9.80,5939.00,5367.00,572.00,9.60,5842.00,5351.00,491.00,8.40,5825.00,5372.00,453.00,7.80,5864.00,5479.00,385.00,6.60,5664.00,5321.00,343.00,6.10,5738.00,5394.00,344.00,6.00,5792.00,5525.00,267.00,4.60,5855.00,5607.00,248.00,4.20,5865.00,5670.00,195.00,3.30,5857.00,5564.00,293.00,5.00,5913.00,5761.00,152.00,2.60,6141.00,5993.00,148.00,2.40,49769.00,92.20
01031,AL,"Coffee County, AL",4,5,0,20037.00,18861.00,1176.00,5.90,19397.00,18179.00,1218.00,6.30,19359.00,18354.00,1005.00,5.20,20010.00,18917.00,1093.00,5.50,20240.00,19173.00,1067.00,5.30,20052.00,19277.00,775.00,3.90,20712.00,19945.00,767.00,3.70,21124.00,20304.00,820.00,3.90,20908.00,19859.00,1049.00,5.00,21423.00,19755.00,1668.00,7.80,21099.00,19313.00,1786.00,8.50,20745.00,19068.00,1677.00,8.10,20625.00,19135.00,1490.00,7.20,20495.00,19065.00,1430.00,7.00,20264.00,18926.00,1338.00,6.60,20222.00,19010.00,1212.00,6.00,20429.00,19227.00,1202.00,5.90,21128.00,20179.00,949.00,4.50,21230.00,20395.00,835.00,3.90,22086.00,21410.00,676.00,3.10,22025.00,20970.00,1055.00,4.80,21624.00,21017.00,607.00,2.80,21597.00,21049.00,548.00,2.50,55052.00,102.00
01033,AL,"Colbert County, AL",3,2,1,26124.00,24657.00,1467.00,5.60,25768.00,23982.00,1786.00,6.90,25050.00,22957.00,2093.00,8.40,24659.00,22821.00,1838.00,7.50,24766.00,23030.00,1736.00,7.00,24892.00,23557.00,1335.00,5.40,25331.00,24162.00,1169.00,4.60,25446.00,24250.00,1196.00,4.70,25171.00,23478.00,1693.00,6.70,25324.00,22625.00,2699.00,10.70,24229.00,21499.00,2730.00,11.30,24385.00,21915.00,2470.00,10.10,24057.00,21895.00,2162.00,9.00,23879.00,21891.00,1988.00,8.30,24069.00,22082.00,1987.00,8.30,23550.00,21673.00,1877.00,8.00,23261.00,21640.00,1621.00,7.00,23525.00,22273.00,1252.00,5.30,23795.00,22704.00,1091.00,4.60,24091.00,23137.00,954.00,4.00,23907.00,22186.00,1721.00,7.20,23609.00,22690.00,919.00,3.90,23842.00,23120.00,722.00,3.00,53341.00,98.80
01035,AL,"Conecuh County, AL",7,11,0,5521.00,5158.00,363.00,6.60,5307.00,4916.00,391.00,7.40,5179.00,4754.00,425.00,8.20,5169.00,4728.00,441.00,8.50,5063.00,4639.00,424.00,8.40,5173.00,4855.00,318.00,6.10,5127.00,4840.00,287.00,5.60,4979.00,4653.00,326.00,6.50,4886.00,4413.00,473.00,9.70,4853.00,3959.00,894.00,18.40,4982.00,4140.00,842.00,16.90,4778.00,4059.00,719.00,15.00,4643.00,4077.00,566.00,12.20,4694.00,4183.00,511.00,10.90,4724.00,4239.00,485.00,10.30,4671.00,4238.00,433.00,9.30,4512.00,4131.00,381.00,8.40,4541.00,4257.00,284.00,6.30,4560.00,4324.00,236.00,5.20,4573.00,4382.00,191.00,4.20,4583.00,4220.00,363.00,7.90,4390.00,4182.00,208.00,4.70,4242.00,4092.00,150.00,3.50,35621.00,66.00
01037,AL,"Coosa County, AL",8,3,0,5329.00,5038.00,291.00,5.50,5333.00,4969.00,364.00,6.80,5198.00,4712.00,486.00,9.30,5076.00,4662.00,414.00,8.20,4914.00,4569.00,345.00,7.00,4879.00,4635.00,244.00,5.00,4797.00,4531.00,266.00,5.50,4698.00,4421.00,277.00,5.90,4664.00,4266.00,398.00,8.50,4557.00,3884.00,673.00,14.80,4648.00,3946.00,702.00,15.10,4472.00,3920.00,552.00,12.30,4451.00,4025.00,426.00,9.60,4449.00,4036.00,413.00,9.30,4474.00,4082.00,392.00,8.80,4416.00,4119.00,297.00,6.70,4344.00,4084.00,260.00,6.00,4430.00,4218.00,212.00,4.80,4473.00,4289.00,184.00,4.10,4577.00,4433.00,144.00,3.10,4431.00,4163.00,268.00,6.00,4371.00,4238.00,133.00,3.00,4459.00,4346.00,113.00,2.50,45954.00,85.10
01039,AL,"Covington County, AL",6,6,0,17436.00,16221.00,1215.00,7.00,16954.00,15866.00,1088.00,6.40,17148.00,16128.00,1020.00,5.90,17389.00,16182.00,1207.00,6.90,17185.00,16051.00,1134.00,6.60,16888.00,16131.00,757.00,4.50,17213.00,16553.00,660.00,3.80,17108.00,16432.00,676.00,4.00,16805.00,15773.00,1032.00,6.10,16672.00,15021.00,1651.00,9.90,16428.00,14753.00,1675.00,10.20,16372.00,14772.00,1600.00,9.80,16364.00,14960.00,1404.00,8.60,16055.00,14737.00,1318.00,8.20,15940.00,14706.00,1234.00,7.70,15422.00,14314.00,1108.00,7.20,15366.00,14325.00,1041.00,6.80,15901.00,15054.00,847.00,5.30,15818.00,15095.00,723.00,4.60,15796.00,15222.00,574.00,3.60,15352.00,14522.00,830.00,5.40,15233.00,14775.00,458.00,3.00,15152.00,14753.00,399.00,2.60,44188.00,81.80
01041,AL,"Crenshaw County, AL",8,6,0,6155.00,5800.00,355.00,5.80,6038.00,5671.00,367.00,6.10,5845.00,5489.00,356.00,6.10,5943.00,5541.00,402.00,6.80,5822.00,5428.00,394.00,6.80,6169.00,5869.00,300.00,4.90,6602.00,6341.00,261.00,4.00,6562.00,6273.00,289.00,4.40,6464.00,6093.00,371.00,5.70,6424.00,5810.00,614.00,9.60,6290.00,5658.00,632.00,10.00,6432.00,5801.00,631.00,9.80,6257.00,5725.00,532.00,8.50,6306.00,5817.00,489.00,7.80,6310.00,5875.00,435.00,6.90,6339.00,5957.00,382.00,6.00,6401.00,6024.00,377.00,5.90,6477.00,6177.00,300.00,4.60,6435.00,6175.00,260.00,4.00,6537.00,6342.00,195.00,3.00,6375.00,5980.00,395.00,6.20,6131.00,5929.00,202.00,3.30,5977.00,5820.00,157.00,2.60,38037.00,70.50
01043,AL,"Cullman County, AL",4,3,0,38898.00,37274.00,1624.00,4.20,38206.00,36421.00,1785.00,4.70,38052.00,35757.00,2295.00,6.00,38430.00,36205.00,2225.00,5.80,38522.00,36544.00,1978.00,5.10,38393.00,36863.00,1530.00,4.00,39418.00,38081.00,1337.00,3.40,39449.00,38100.00,1349.00,3.40,39092.00,37118.00,1974.00,5.00,38449.00,34838.00,3611.00,9.40,35983.00,32272.00,3711.00,10.30,35673.00,32295.00,3378.00,9.50,35607.00,32795.00,2812.00,7.90,35750.00,33333.00,2417.00,6.80,35984.00,33812.00,2172.00,6.00,36296.00,34376.00,1920.00,5.30,37594.00,35720.00,1874.00,5.00,38258.00,36792.00,1466.00,3.80,38511.00,37249.00,1262.00,3.30,39146.00,38070.00,1076.00,2.70,38896.00,37049.00,1847.00,4.70,38931.00,38020.00,911.00,2.30,39337.00,38525.00,812.00,2.10,55036.00,101.90
01045,AL,"Dale County, AL",4,5,0,20923.00,19820.00,1103.00,5.30,20248.00,19112.00,1136.00,5.60,20321.00,19162.00,1159.00,5.70,20628.00,19543.00,1085.00,5.30,20524.00,19439.00,1085.00,5.30,20116.00,19227.00,889.00,4.40,20498.00,19550.00,948.00,4.60,20295.00,19477.00,818.00,4.00,19834.00,18724.00,1110.00,5.60,20000.00,18232.00,1768.00,8.80,22099.00,20167.00,1932.00,8.70,22020.00,20197.00,1823.00,8.30,21388.00,19757.00,1631.00,7.60,20732.00,19180.00,1552.00,7.50,20351.00,18919.00,1432.00,7.00,19789.00,18524.00,1265.00,6.40,19796.00,18648.00,1148.00,5.80,20166.00,19243.00,923.00,4.60,20474.00,19619.00,855.00,4.20,20929.00,20237.00,692.00,3.30,20944.00,19824.00,1120.00,5.30,20974.00,20315.00,659.00,3.10,21052.00,20500.00,552.00,2.60,50086.00,92.80
01047,AL,"Dallas County, AL",4,5,0,17948.00,16487.00,1461.00,8.10,17596.00,15965.00,1631.00,9.30,17190.00,15224.00,1966.00,11.40,16845.00,14944.00,1901.00,11.30,16375.00,14754.00,1621.00,9.90,15956.00,14603.00,1353.00,8.50,15909.00,14614.00,1295.00,8.10,15605.00,14279.00,1326.00,8.50,15508.00,13732.00,1776.00,11.50,15671.00,12607.00,3064.00,19.60,17782.00,14839.00,2943.00,16.60,17493.00,14874.00,2619.00,15.00,16780.00,14565.00,2215.00,13.20,16290.00,14270.00,2020.00,12.40,16026.00,14234.00,1792.00,11.20,15555.00,14056.00,1499.00,9.60,15293.00,13880.00,1413.00,9.20,15211.00,14046.00,1165.00,7.70,15042.00,14067.00,975.00,6.50,14907.00,14048.00,859.00,5.80,14834.00,13111.00,1723.00,11.60,13965.00,12977.00,988.00,7.10,13749.00,13055.00,694.00,5.00,33159.00,61.40
